DATE,SCHED_TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,STRING_STATUS,STATUS,DEP_TIME,DEP_DIFF
29/03/2023,18:45,ET3303,Addis Ababa (ADD),Ethiopian Airlines,763,,Unknown,0:00:00,-1125
29/03/2023,19:00,ET307,Addis Ababa (ADD),Ethiopian Airlines,788,,Canceled,0:00:00,-1140
29/03/2023,19:00,KQ612,Mombasa (MBA),Kenya Airways,B738 (5Y-KYF),,Departed,19:12:00,12
29/03/2023,19:35,PW712,Zanzibar (ZNZ),Precision Air,AT7,,Unknown,0:00:00,-1175
29/03/2023,19:45,JM8718,Mombasa (MBA),Jambojet,DH8D (5Y-JXI),,Departed,22:09:00,24
29/03/2023,20:00,KQ2764,Johannesburg (JNB),Kenya Airways,73Y,,Unknown,0:00:00,-1200
29/03/2023,20:00,PW720,Kilimanjaro (JRO),Precision Air,AT7,,Unknown,0:00:00,-1200
29/03/2023,20:05,AI962,Delhi (DEL),Air India,B788 (VT-ANG),,Departed,19:58:00,-7
29/03/2023,20:45,KQ618,Mombasa (MBA),Kenya Airways,E190 (5Y-FFK),,Departed,21:05:00,20
29/03/2023,20:50,KQ204,Mumbai (BOM),Kenya Airways (SkyTeam Livery),B738 (5Y-CYE),,Departed,21:09:00,19
29/03/2023,20:50,WB403,Kigali (KGL),RwandAir,DH4,,Unknown,0:00:00,-1250
29/03/2023,21:00,KQ764,Johannesburg (JNB),Kenya Airways,B738 (5Y-KYE),,Departed,21:24:00,24
29/03/2023,21:00,8V20,Johannesburg (JNB),Astral Aviation,B752 (5Y-SHJ),,Departed,21:33:00,33
29/03/2023,21:00,8V40,Lusaka (LUN),Astral Aviation,727,,Unknown,0:00:00,-1260
29/03/2023,21:20,JM8714,Mombasa (MBA),Jambojet,DH4,,Unknown,0:00:00,-1280
29/03/2023,21:50,KQ274,Port Louis (MRU),Kenya Airways (Come Live The Magic Livery),E190 (5Y-FFJ),,Departed,22:06:00,16
29/03/2023,22:10,TC203,Dar-es-Salaam (DAR),Air Tanzania,DH8D (5H-TCK),,Departed,22:39:00,29
29/03/2023,22:45,BA64,London (LHR),British Airways,A35K (G-XWBK),,Departed,23:06:00,21
29/03/2023,22:45,UR205,Entebbe (EBB),Uganda Airlines,CRJ9 (5X-KOB),,Departed,22:12:00,-33
29/03/2023,22:45,TK6512,Istanbul (IST),Turkish Airlines,33X,,Unknown,0:00:00,-1365
29/03/2023,22:45,EK722,Dubai (DXB),Emirates,B77W (A6-EGK),,Departed,22:55:00,10
29/03/2023,22:55,KQ708,Harare (HRE),Kenya Airways,E190 (5Y-FFC),,Departed,23:13:00,18
29/03/2023,23:00,MP8322,Amsterdam (AMS),Martinair Holland,747,,Unknown,0:00:00,-1380
29/03/2023,23:00,ZF333,Liege (LGG),Magma Aviation,B744 (TF-AMP),,Departed,23:18:00,18
29/03/2023,23:10,KQ304,Dubai (DXB),Kenya Airways,B738 (5Y-CYA),,Departed,0:12:00,-1378
29/03/2023,23:30,KQ726,Lusaka (LUN),Kenya Airways,E90,,Departed,23:42:00,12
29/03/2023,23:45,KQ488,Dar-es-Salaam (DAR),Kenya Airways,E190 (5Y-FFH),,Departed,0:00:00,-1425
29/03/2023,23:50,AF838,Paris (CDG),Air France,B789 (F-HRBB),,Departed,0:36:00,-1394
29/03/2023,23:50,KQ112,Paris (CDG),Kenya Airways,B788 (5Y-KZG),,Departed,0:52:00,-1378
29/03/2023,23:59,KL566,Amsterdam (AMS),KLM,B78X (PH-BKF),,Departed,0:18:00,-1421
29/03/2023,23:59,KQ624,Mombasa (MBA),Kenya Airways,E90,,Departed,0:02:00,-1437
30/03/2023,0:00:00,SV948,Jeddah (JED),Saudia Cargo,B744 (9H-AKF),,Departed,0:08:00,8
30/03/2023,0:05:00,KQ102,London (LHR),Kenya Airways,B788 (5Y-KZF),,Departed,0:28:00,23
30/03/2023,0:55:00,KQ418,Entebbe (EBB),Kenya Airways,E190 (5Y-FFK),,Departed,1:00:00,5
30/03/2023,1:00:00,SV430,Jeddah (JED),Saudia,A333 (HZ-AQ18),,Departed,1:22:00,22
30/03/2023,1:10:00,KQ766,Johannesburg (JNB),Kenya Airways,B738 (5Y-CYD),,Departed,1:15:00,5
30/03/2023,1:15:00,QR1342,Doha (DOH),Qatar Airways,A35K (A7-ANH),,Departed,1:31:00,16
30/03/2023,1:15:00,TK6512,Istanbul (IST),Turkish Airlines,A332,,Unknown,0:00:00,-75
30/03/2023,3:20:00,CV2613,Amsterdam (AMS),Cargolux,B744 (LX-YCV),,Departed,4:55:00,35
30/03/2023,3:20:00,EY957,Amsterdam (AMS),Etihad Cargo,B77L (A6-DDD),,Departed,7:24:00,4
30/03/2023,3:30:00,KQ882,Guangzhou (CAN),Kenya Airways (Come Live The Magic Livery),B788 (5Y-KZD),,Departed,6:57:00,27
30/03/2023,5:00:00,ET309,Addis Ababa (ADD),Ethiopian Airlines,B77W (ET-ASL),,Departed,5:21:00,21
30/03/2023,5:25:00,MS850,Cairo (CAI),EgyptAir,B738 (SU-GCR),,Departed,5:49:00,24
30/03/2023,5:25:00,TK608,Istanbul (IST),Turkish Airlines,B738 (TC-JVG),,Departed,6:35:00,10
30/03/2023,5:35:00,WB464,Kigali (KGL),RwandAir,DH8D (9XR-WM),,Departed,5:52:00,17
30/03/2023,6:00:00,JM8650,Kisumu (KIS),Jambojet,DH8D (5Y-JXD),,Departed,6:06:00,6
30/03/2023,6:00:00,5H417,Mombasa (MBA),Fly540,DH8,,Unknown,0:00:00,-360
30/03/2023,6:10:00,JM8660,Eldoret (EDL),Jambojet,DH8D (5Y-JXC),,Departed,6:24:00,14
30/03/2023,6:15:00,ET51,Lilongwe (LLW),Malawian Airlines,B738 (ET-APO),,Departed,6:26:00,11
30/03/2023,6:30:00,KQ600,Mombasa (MBA),Kenya Airways,E90,,Departed,6:51:00,21
30/03/2023,6:30:00,XU520,Mogadishu (MGQ),African Express Airways,M82,,Unknown,0:00:00,-390
30/03/2023,6:35:00,JM8600,Mombasa (MBA),Jambojet,DH8D (5Y-JXM),,Departed,6:53:00,18
30/03/2023,6:40:00,5H1407,Kisumu (KIS),Fly540,DH8,,Unknown,0:00:00,-400
30/03/2023,7:00:00,4F101,Mogadishu (MGQ),Freedom Airline Express,CRJ,,Unknown,0:00:00,-420
30/03/2023,7:15:00,JM8640,Malindi (MYD),Jambojet,DH8D (5Y-JXH),,Departed,7:28:00,13
30/03/2023,7:15:00,KQ706,Lusaka (LUN),Kenya Airways,E190 (5Y-FFA),,Departed,7:40:00,25
30/03/2023,7:20:00,KQ586,Lubumbashi (FBM),Kenya Airways,E90,,Departed,7:45:00,25
30/03/2023,7:20:00,KQ730,Lilongwe (LLW),Kenya Airways (SkyTeam Livery),E190 (5Y-FFB),,Unknown,0:00:00,-440
30/03/2023,7:40:00,KQ482,Dar-es-Salaam (DAR),Kenya Airways,E190 (5Y-FFC),,Departed,7:48:00,8
30/03/2023,7:40:00,KQ470,Kigali (KGL),Kenya Airways,E90,,Departed,7:53:00,13
30/03/2023,7:40:00,KQ554,Kinshasa (FIH),Kenya Airways,B738 (5Y-CYB),,Departed,8:03:00,23
30/03/2023,7:40:00,TC201,Dar-es-Salaam (DAR),Air Tanzania,DH8D (5H-TCD),,Departed,7:59:00,19
30/03/2023,7:45:00,KQ420,Entebbe (EBB),Kenya Airways,E190 (5Y-FFH),,Departed,7:57:00,12
30/03/2023,7:45:00,KQ760,Johannesburg (JNB),Kenya Airways,B738 (5Y-CYC),,Departed,8:49:00,4
30/03/2023,8:00:00,JM8698,Ukunda (UKA),Jambojet,DH8D (5Y-JXH),,Departed,10:51:00,51
30/03/2023,8:00:00,KQ490,Zanzibar (ZNZ),Kenya Airways (SkyTeam Livery),E190 (5Y-FFB),,Departed,8:12:00,12
30/03/2023,8:00:00,KQ602,Mombasa (MBA),Kenya Airways,E190 (5Y-FFK),,Departed,8:09:00,9
30/03/2023,8:00:00,KQ2556,Kinshasa (FIH),Kenya Airways,73Y,,Unknown,0:00:00,-480
30/03/2023,8:00:00,UR203,Entebbe (EBB),Uganda Airlines,CRJ9 (5X-EQU),,Departed,8:14:00,14
30/03/2023,8:00:00,XU521,Mogadishu (MGQ),African Express Airways,M82,,Unknown,0:00:00,-480
30/03/2023,8:00:00,7C5209,Juba (JUB),Jeju Air,72F,,Unknown,0:00:00,-480
30/03/2023,8:00:00,8V80,Juba (JUB),Astral Aviation,727,,Unknown,0:00:00,-480
30/03/2023,8:05:00,KQ784,Cape Town (CPT),Kenya Airways,B738 (5Y-KYE),,Departed,8:31:00,26
30/03/2023,8:15:00,KQ520,Abidjan (ABJ),Kenya Airways,B738 (5Y-KYD),,Departed,8:33:00,18
30/03/2023,8:20:00,PW718,Kilimanjaro (JRO),Precision Air,AT7,,Unknown,0:00:00,-500
30/03/2023,8:25:00,JM8712,Mombasa (MBA),Jambojet,DH8D (5Y-JXB),,Departed,8:43:00,18
30/03/2023,8:35:00,KQ654,Kisumu (KIS),Kenya Airways,E90,,Departed,8:44:00,9
30/03/2023,9:00:00,JM8684,Lamu (LAU),Jambojet,DH8D (5Y-JXD),,Departed,9:03:00,3
30/03/2023,9:10:00,JM8652,Kisumu (KIS),Jambojet,DH8D (5Y-JXC),,Departed,9:07:00,-3
30/03/2023,9:10:00,KQ116,Amsterdam (AMS),Kenya Airways,B788 (5Y-KZB),,Departed,9:14:00,4
30/03/2023,9:10:00,D9301,Mogadishu (MGQ),Dena Airways,B733 (5Y-KQB),,Departed,9:09:00,-1
